小区,小区地址,PRI,FAR,GRE,CAR,PRO,AGE_medium,AGE_new,AGE_old,latitude,longitude,BUS,HOS,MAR,SUB,PSC,MSC,PAR,CBD,SCBD,RIV,ARE,geometry,REG_天河,REG_海珠,REG_荔湾,REG_越秀
怡雅苑(海珠),海珠-宝岗-马涌直街82-106号,35109,3.33,0.35,1,0.8,True,False,False,23.10040089150791,113.26816717172922,151.36466869900318,728.0959608940107,291.61051279159784,580.1758415025901,460.8027287668316,247.1374620168121,1144.195058157136,6192.353560169881,1541.140163339836,1361.4342445324637,504200,POINT (113.2681671717292 23.10040089150791),False,True,False,False
珠光高派华庭,海珠-滨江东-滨江东路586号,50761,4.0,0.4,1,2.5,False,True,False,23.082964311926386,113.3249114239953,147.62779842736992,1318.9065282604925,446.5052977349297,581.8745801878091,186.12008476848487,532.6749924922922,607.3645308717983,4166.517315368395,3111.837827860887,2957.159541466042,344900,POINT (113.3249114239953 23.08296431192639),False,True,False,False
赤岗三街2-30号小区,海珠-赤岗-赤岗三街2-30号,31226,2.5,0.32,0,0.5,False,False,True,23.0955613111584,113.3344490929138,150.13318870248114,3.0098077616313046,393.1748817763061,46.56820794042758,376.0489471609772,608.0073440989411,912.907548702868,2941.276726602101,1468.7560667445246,1805.1738209363632,125500,POINT (113.3344490929138 23.0955613111584),False,True,False,False
海天花苑,海珠-广州大道南-金菊路61-99号,41354,7.9,0.36,1,1.5,True,False,False,23.08898129664783,113.32353998097368,53.307212905202725,1051.005493025582,14.71747935310606,805.1505623137089,182.429735393796,728.320044465585,703.0537038986106,3499.263205081074,2802.932376716072,2286.572119769984,462400,POINT (113.3235399809737 23.08898129664783),False,True,False,False
嘉鸿花园,海珠-工业大道南-工业大道南997号,28963,4.0,0.12,1,1.2,False,False,True,23.098786831195905,113.2677612274694,180.00523124326074,640.00116298977,453.5586293912253,584.8285614076921,463.1040617083342,237.09460543409048,967.0856064629178,6297.533299838578,1661.3335071682843,1530.0505898841404,532700,POINT (113.2677612274694 23.09878683119591),False,True,False,False
海琴湾,海珠-滨江东-滨江东路511号,66546,3.3,0.22,1,2.3,True,False,False,23.082964311926386,113.3249114239953,147.62779842736992,1318.9065282604925,446.5052977349297,581.8745801878091,186.12008476848487,532.6749924922922,607.3645308717983,4166.517315368395,3111.837827860887,2957.159541466042,344900,POINT (113.3249114239953 23.08296431192639),False,True,False,False
纵横公寓,海珠-赤岗-新港中路456号,40651,4.3,0.37,1,1.8,False,True,False,23.101665067154062,113.33642653283226,223.6287675911568,695.0172994977778,218.52625046504747,559.1447777625724,401.55677429514,1222.7126676461542,360.4894481369036,2408.989927377884,1047.512566182534,1130.1567871466102,82600,POINT (113.3364265328323 23.10166506715406),False,True,False,False
银业国际,海珠-广州大道南-广州大道南859号,39751,9.17,0.3,1,2.5,False,True,False,23.08898129664783,113.32353998097368,53.307212905202725,1051.005493025582,14.71747935310606,805.1505623137089,182.429735393796,728.320044465585,703.0537038986106,3499.263205081074,2802.932376716072,2286.572119769984,462400,POINT (113.3235399809737 23.08898129664783),False,True,False,False
海逸花园,海珠-江南大道中-江南大道中110号,44285,4.32,0.3,1,1.2,True,False,False,23.09219451004753,113.33864103557472,449.1009030641266,199.6008838594764,776.6875762289424,604.2505992112965,389.29051306231264,391.2259992029301,1379.281770572272,3450.2461585626666,1413.2284109127656,2199.117498908181,103500,POINT (113.3386410355747 23.09219451004753),False,True,False,False
世纪云顶雅苑,海珠-滨江东-广州大道南252-282号,63322,4.6,0.37,1,1.9,False,True,False,23.082964311926386,113.3249114239953,147.62779842736992,1318.9065282604925,446.5052977349297,581.8745801878091,186.12008476848487,532.6749924922922,607.3645308717983,4166.517315368395,3111.837827860887,2957.159541466042,344900,POINT (113.3249114239953 23.08296431192639),False,True,False,False
