小区,小区地址,PRI,FAR,GRE,CAR,PRO,AGE_medium,AGE_new,AGE_old,latitude,longitude
龙口花苑,天河-天河北-龙口西路,59792,2.18,0.32,1,2.5,True,False,False,23.13035783510465,113.36850942427998
美林湖畔誉府,天河-东圃-桃园西路632-616号,62291,2.08,0.37,1,2.75,False,True,False,23.124057728945285,113.41982324007894
半山溪谷E墅,天河-东圃-悦景路2号,57446,1.0,0.5,1,2.8,False,True,False,23.14904194435896,113.42305013313083
瑞华大厦,天河-华师-五山路263-265号,41472,2.5,0.2,1,1.7,False,False,True,23.148693449438113,113.35225341828513
天晟明苑,天河-岗顶-石牌西路111-119号,47492,2.5,0.25,1,2.0,True,False,False,23.133437778081312,113.34477592322254
天一新村,天河-东莞庄-东莞庄路126号-6号(单号),37681,1.2,0.3,1,0.55,False,True,False,23.16201460737996,113.34337986662995
燕塘大院,天河-燕塘-燕塘路,33821,2.4,0.39,1,0.5,True,False,False,23.167974266300003,113.33426979113408
仙湖名苑,天河-天河公园-华翠街66号,57427,2.5,0.3,1,1.2,False,False,True,23.132124968405115,113.37434257110709
南苑小区,天河-岗顶-黄埔大道西463号,52913,1.5,0.2,1,1.5,False,False,True,23.131928806055765,113.3459545898818
都市华庭(天河),天河-天河北-天河北路358-378号,66968,3.8,0.35,1,2.6,True,False,False,23.14640532283318,113.33553541376665
金富苑,天河-龙怡路-五山路269-291号,52002,1.8,0.3,1,0.8,False,False,True,23.150227567890504,113.35165128410199
天鑫六运小区,天河-体育西路-天河南一路,51094,1.5,0.3,1,0.6,False,False,True,23.136141372324325,113.33015986376618
叠翠台,天河-天河公园-天府路289号,66733,3.72,0.2,1,1.5,False,False,True,23.138515830505085,113.36868522266823
远东大厦,天河-天河北-林和街230-244号,59788,10.13,0.32,1,2.0,False,False,True,23.14845726988007,113.33714580605387
君怡大厦,天河-珠江新城东-金穗路935号,74126,3.0,0.35,1,2.1,False,False,True,23.128945042076563,113.34764987203968
领汇国际公寓,天河-东圃-菁映路,36586,2.9,0.3,1,1.98,False,True,False,23.12432511045114,113.41569687372022
金兴花园,天河-员村-金兴一街,48943,2.4,0.12,1,0.5,False,False,True,40.82838390336552,116.4898502468795
祥龙花园,天河-林和-天河北路177号,45531,2.5,0.15,0,0.9,False,False,True,23.147118606490725,113.32859267997398
远洋明苑,天河-黄村-杨桃西路636-637号,36519,3.39,0.4,1,1.25,True,False,False,23.124760497455245,113.41892179049998
园田居,天河-华师-天华街,41000,2.6,0.3,1,0.5,False,False,True,23.141840415895825,113.35643628806042
暨南大学苏州苑,天河-岗顶-黄埔大道西601号,56202,1.2,0.2,0,0.5,False,False,True,23.131928806055765,113.34471492827844
暨南大学羊城苑,天河-岗顶-黄埔大道西601号,65506,1.2,0.2,0,0.5,False,False,True,23.131928806055765,113.34471492827844
骏汇大厦,天河-体育西路-体育西路5-9号,57023,2.5,0.1,1,2.3,True,False,False,23.135120458546602,113.32737547600837
珠江太阳城广场,天河-珠江新城东-平川路611-613号,89749,5.0,0.46,1,1.95,False,True,False,23.13035783510465,113.36850942427998
华师北区宿舍,天河-华师-翰景街,84640,1.2,0.2,1,0.5,False,False,True,23.141840415895825,113.35643628806042
保利香槟花园,天河-珠江新城西-华穗路121号,115327,4.7,0.36,1,2.1,True,False,False,23.12272812527489,113.32459971198345
天河豪景花园,天河-沙河-广州大道北52号,33685,4.8,0.31,1,1.25,False,True,False,23.16070831078783,113.32218300067076
恒城大厦,天河-体育中心-黄埔大道西55号,43200,2.0,0.3,1,2.1,False,False,True,23.143232385236846,113.33157505426612
太阳广场,天河-龙怡路-龙口东路331-337号,49341,6.5,0.32,1,1.6,False,False,True,23.149770000873364,113.34696922595498
翠安侬苑,天河-天河公园-华景北路35-40号,57992,2.0,0.38,1,1.5,True,False,False,23.134102943315984,113.37180072583689
岗顶百脑汇,天河-岗顶-天河路596号,34696,2.5,0.3,0,0.9,False,True,False,40.82838390336552,116.4898502468795
东方都会广场,天河-天河公园-中山大道西192号,53017,2.5,0.1,1,1.87,False,True,False,23.134102943315984,113.37180072583689
银汇华庭,天河-龙怡路-龙怡路115号,74904,4.75,0.34,1,2.1,False,True,False,23.149712763348433,113.35137074329133
天诚广场,天河-龙口东-龙口东路346-350号,56555,5.9,0.35,1,1.5,False,False,True,23.14522373583136,113.34478912831354
理想青年荟,天河-天河公园-东方三路35号,67524,4.49,0.3,1,1.96,False,True,False,23.13494598519061,113.36571515516157
伊顿18,天河-天河北-龙口西路194号,70978,6.67,0.28,1,2.35,True,False,False,23.143398207646637,113.34286801215055
南粤阁,天河-天河北-林和西横路215号,41223,8.5,0.3,1,1.0,True,False,False,23.13035783510465,113.36850942427998
易丰大厦,天河-员村-翠园街8号,57500,2.18,0.3,1,1.96,False,True,False,40.82838390336552,116.4898502468795
汇友苑,天河-东圃-东圃大马路9-13号,41482,3.0,0.25,1,1.0,True,False,False,23.124308077151888,113.40848042623875
华南植物园宿舍,天河-龙洞-天源路1190号,41600,1.5,0.2,1,0.5,False,False,True,23.19122066693329,113.36932616364939
漾晴居,天河-珠江新城西-华明路21号,86730,6.86,0.44,1,2.1,True,False,False,23.128963902680116,113.32452784754268
穗东花园,天河-天河公园-华翠街13-41号,44473,1.8,0.3,1,0.58,False,False,True,23.130336399049067,113.37550659538654
金鼎大厦,天河-天河北-龙口西路373号,40086,8.0,0.25,1,1.5,False,False,True,23.15055354604333,113.3425720204851
雅怡阁,天河-东圃-东圃大马路3-25号,30000,2.5,0.2,1,1.0,False,False,True,23.126433732913043,113.41000179644995
华景新城六期西区,天河-天河公园-华景路,53000,3.8,0.3,1,1.9,False,False,True,23.134102943315984,113.37180072583689
金润大厦,天河-天河北-龙口西路361号,50201,6.94,0.2,1,1.77,False,False,True,23.149837788679324,113.34294176303288
保林苑,天河-珠江新城西-华就路6号,103000,3.44,0.3,1,2.0,False,True,False,23.12490341043514,113.33991222770148
绿佳花园,天河-粤垦-燕都路62-76号,31242,2.6,0.35,1,1.5,False,False,True,23.165159684097826,113.33879123225596
金山轩,天河-天河北-五山路242号,54176,1.1,0.35,1,0.7,False,False,True,23.13035783510465,113.36850942427998
南天广场,天河-珠江新城西-花城大道1号,51024,5.39,0.39,1,2.09,True,False,False,23.13035783510465,113.36850942427998
金建苑,天河-粤垦-燕岭路,34134,2.83,0.4,1,0.5,False,False,True,23.170650742653155,113.33989812430497
丰乐苑,天河-珠江新城中-潭乐街102-120号,58593,2.5,0.3,0,0.9,True,False,False,23.13035783510465,113.36850942427998
天寿大厦,天河-天河北-天寿路105号,82900,8.7,0.3,1,2.5,False,False,True,23.153623965018806,113.33905210017596
银燕大厦天鸿阁,天河-粤垦-燕岭路25-27号,24800,2.5,0.2,1,1.0,False,False,True,23.164695025167806,113.33211197146926
华南师范大学教师新村,天河-华师-青松东路,69915,2.5,0.3,1,1.0,False,False,True,23.141840415895825,113.35643628806042
华骏花园,天河-珠江新城东-马场路519号,100626,3.0,0.3,1,1.0,False,False,True,23.127866576671636,113.34936833047969
白马花园,天河-员村-白马岗街,24800,3.0,0.1,1,0.9,False,False,True,40.82838390336552,116.4898502468795
喜洋居,天河-天河公园-中山大道西,46178,2.5,0.25,1,0.9,False,True,False,23.134102943315984,113.37180072583689
恒安大厦,天河-员村-黄埔大道中256号,43752,3.0,0.35,1,1.5,False,False,True,40.82838390336552,116.4898502468795
茶山小区,天河-五山-茶山路,64580,1.5,0.35,1,1.2,False,False,True,23.13035783510465,113.36850942427998
馨怡花苑,天河-龙怡路-龙口东路416-422号,43883,3.12,0.38,1,0.6,False,False,True,23.15010769345981,113.34797505863418
侨林苑(三期),天河-林和-侨林街,89746,2.0,0.4,1,2.3,True,False,False,40.82838390336552,116.4898502468795
尚雅小区,天河-体育西路-黄埔大道西196号,58724,1.5,0.41,1,0.65,False,False,True,23.131928806055765,113.34835306559265
信华经理人花园,天河-天河公园-华景东路216号,60057,3.84,0.3,1,1.2,True,False,False,23.14481583124207,113.37242549731889
华建小区,天河-天河公园-东方三路3-7号,50016,1.5,0.35,1,1.2,True,False,False,23.132572293913906,113.36376726949437
尚东宏御,天河-珠江新城东-花城大道760号,115984,2.5,0.35,1,2.8,False,True,False,23.13035783510465,113.36850942427998
天河东远洋小区,天河-天河北-天河东路171-173号,56264,2.0,0.15,1,0.75,False,False,True,23.143654251661463,113.3395017919141
信成小区,天河-天河北-天河东路197号,51609,2.0,0.3,1,0.7,False,False,True,23.13035783510465,113.36850942427998
希尔顿阳光,天河-天河北-龙口西路305号,69764,2.0,0.35,1,2.8,True,False,False,23.14639427380153,113.34206277109166
龙湖首开天宸原著,天河-黄村-悦景路,54507,2.1,0.35,1,2.8,False,True,False,23.152913208524623,113.41759445427888
翰景轩,天河-华师-翰景街2号,53500,3.0,0.4,1,1.5,False,True,False,23.148391973593107,113.35828410249383
金泽大厦,天河-体育西路-黄埔大道西201号,38800,2.55,0.2,0,0.9,False,False,True,23.131928806055765,113.34830815031717
兰亭荟,天河-珠江新城东-平云路165号,84396,1.42,0.34,1,2.8,False,True,False,23.13035783510465,113.36850942427998
光华大厦,天河-天河北-天河北路82-88号,45859,2.17,0.35,1,1.87,False,False,True,23.13035783510465,113.36850942427998
林和苑,天河-龙怡路-龙口东路389号,54500,2.7,0.35,1,1.2,False,False,True,23.15092222271241,113.34639673585367
隽悦园,天河-天河公园-天府路157号,85829,2.5,0.42,1,2.29,False,True,False,23.13591032148136,113.36899648552732
农科院(中区),天河-五山-金颖路,55681,1.32,0.25,1,0.65,False,False,True,23.151399972318238,113.35973872860565
体育西苑,天河-体育西路-天河直街148号,60213,3.5,0.4,1,2.0,True,False,False,23.143500226541164,113.32508138339773
朝晖苑,天河-林和-天寿路2-8号,65609,2.5,0.2,1,1.95,False,False,True,23.14854757143509,113.33850808635928
海景大厦,天河-天河公园-棠石路8号,42369,3.0,0.1,0,0.9,False,False,True,23.12891454937704,113.37487760186866
六运五街小区,天河-体育西路-六运五街,50769,2.0,0.3,1,0.65,False,False,True,23.13617751292677,113.33637065822955
聚龙阁,天河-天河北-龙口西路219号,54034,2.5,0.3,1,1.98,False,False,True,23.144004421374014,113.34239002378884
耀星华庭,天河-林和-天寿路25-27号,71235,3.0,0.23,1,2.5,True,False,False,23.149669814420157,113.33851635076999
华天国际广场,天河-龙口东-龙口中路201号,52945,3.8,0.1,1,1.5,False,False,True,23.14522373583136,113.34478912831354
鸿运花园(天河),天河-天河公园-路诚街1-50号,44712,3.5,0.35,1,0.65,False,False,True,23.13035783510465,113.36850942427998
富丽花苑(天河),天河-体育中心-体育东路64号,52264,1.5,0.2,0,0.9,False,False,True,23.143232385236846,113.33157505426612
紫藤阁,天河-天河公园-金兴一街45号,17857,2.4,0.2,0,0.5,False,False,True,23.130818460205994,113.36601734513502
紫林居,天河-员村-黄埔大道中195号,46326,0.5,0.35,1,0.45,False,False,True,40.82838390336552,116.4898502468795
中兴花园,天河-东圃-中山大道中1104号,41666,4.1,0.3,1,1.5,True,False,False,23.126563682385086,113.40897413494686
佳润上品菁园,天河-东圃-中山大道中438号,51000,2.53,0.35,1,2.7,False,True,False,23.126563682385086,113.40897413494686
燕东大厦,天河-燕塘-燕岭路390号,23972,3.0,0.35,1,1.0,False,True,False,23.169918315654943,113.33910554935379
汇富花园,天河-粤垦-燕都路34-42号,41166,2.0,0.15,1,0.8,False,False,True,23.16510253628735,113.3370286670154
富信广场,天河-沙河-禺东西路25号,32289,1.2,0.35,1,1.25,False,False,True,23.13035783510465,113.36850942427998
德埔小区,天河-岗顶-黄埔大道西321号,50939,1.5,0.36,1,0.9,False,False,True,23.131928806055765,113.34723018370555
西雅苑(天河),天河-天河北-体育西路127-131号,58964,2.0,0.3,1,2.4,False,False,True,23.13035783510465,113.36850942427998
力迅上筑,天河-珠江新城东-海明路22号,115114,4.02,0.35,1,2.5,False,True,False,23.12490341043514,113.33991222770148
