小区,小区地址,PRI,FAR,GRE,CAR,PRO,AGE_medium,AGE_new,AGE_old,latitude,longitude,BUS,HOS,MAR,SUB,PSC,MSC,PAR,CBD,SCBD,RIV,ARE,geometry,REG_天河,REG_海珠,REG_荔湾,REG_越秀
京穗花卉大厦,荔湾-荔湾路-芳村大道西345号,19200,2.5,0.24,1,1.2,False,False,True,23.10763309015029,113.2316951595612,472.3171202344861,868.5706096011728,709.1939050345115,592.3109042355085,769.7245534837133,886.6921288888702,333.43428511596903,10434.976920065708,1244.7769510059215,89.97931328483179,529000,POINT (113.2316951595612 23.10763309015029),False,False,True,False
荔庭雅居,荔湾-陈家祠-西华路36-38号,53000,3.8,0.35,1,1.8,False,True,False,23.13942987756168,113.24863253028514,201.1036784442452,455.99489486134047,642.9402028422746,794.2216033848011,652.5960432847662,691.620317545632,169.2240301222207,8713.968078650745,3333.316687050713,3012.877489795091,206300,POINT (113.2486325302851 23.13942987756168),False,False,True,False
荔湖明苑,荔湾-中山八路-粤南大街3号,35400,2.51,0.3,1,1.6,False,False,True,23.12941938128707,113.2343448913231,128.2379543816578,1091.861340507052,104.812835907023,682.0254344365802,289.0846804444424,383.2234403485929,917.028988455477,10092.382081179434,3283.412787947014,1424.4166480912866,354500,POINT (113.2343448913231 23.12941938128707),False,False,True,False
荔湾粮食局宿舍,荔湾-陈家祠-荔湾路,25400,1.2,0.2,0,0.5,False,False,True,23.13198638359881,113.25227174556596,225.5924895412376,193.4939379159796,346.1391275434493,433.8120503423365,347.6263572405763,229.6066948340295,791.892084211548,8151.2832542280275,2419.8796622901327,2109.903407307428,367400,POINT (113.252271745566 23.13198638359881),False,False,True,False
龙津东五桂南小区,荔湾-陈家祠-五桂南16号,26800,1.5,0.2,1,0.9,False,False,True,23.12755998513665,113.25882200968144,282.770453877967,829.931215027932,131.116996441685,36.94923008829812,145.05532731008222,302.19611415673705,40.859551257655966,7363.828074578561,1818.845093668485,1476.5041727043183,552600,POINT (113.2588220096814 23.12755998513665),False,False,True,False
金桃小区,荔湾-陈家祠-芦荻街54号,28800,1.5,0.15,0,0.9,False,False,True,23.13363800928618,113.25531295886898,142.6653811362597,276.13649110448495,677.0888989331376,270.1598803104188,177.0734084030818,176.99035956231825,597.2839832314987,7849.791152267222,2523.361764153778,2217.961967118917,269600,POINT (113.255312958869 23.13363800928618),False,False,True,False
金禧大厦,荔湾-陈家祠-康王北路28号,34400,5.0,0.15,1,1.6,False,False,True,23.13198638359881,113.25227174556596,225.5924895412376,193.4939379159796,346.1391275434493,433.8120503423365,347.6263572405763,229.6066948340295,791.892084211548,8151.2832542280275,2419.8796622901327,2109.903407307428,367400,POINT (113.252271745566 23.13198638359881),False,False,True,False
嘉城苑,荔湾-中山八路-康王北路1083号,38600,2.5,0.3,1,0.88,True,False,False,23.13682779284183,113.25395328364954,63.52740803287804,266.0968808459641,441.7433478109277,456.4544549613591,75.36121399450103,166.5625234351323,713.0176504741213,8071.004692459621,2898.348244791064,2596.2700455653167,224700,POINT (113.2539532836495 23.13682779284183),False,False,True,False
龙湾广场,荔湾-滘口-芳村大道西392号,17620,2.51,0.18,1,0.8,False,False,True,23.119514072012183,113.21498407199516,457.44678868362246,1044.988147307746,1057.9213554478554,926.247156637837,326.6451316563387,1157.1732080717431,88.19533788393069,12196.058137759195,3522.614856056833,8.645873565690845,110600,POINT (113.2149840719952 23.11951407201218),False,False,True,False
厚福苑,荔湾-荔湾路-厚福大街21号,29000,4.6,0.19,0,0.9,False,False,True,23.128117333123768,113.24740086360082,156.87625262273068,267.7275197050679,54.33073902343149,299.4546961645103,271.1806850550819,360.8794251119775,664.417265101205,8633.422732602829,2263.4474464040454,1800.9692950307615,510500,POINT (113.2474008636008 23.12811733312377),False,False,True,False
